CarID,CarLabel,Name,ModelPath
475,`mini_cooper_02`,MINI COOPER '02,0050/0003
476,`mini_one_02`,MINI ONE '02,0050/0002
480,`mugen_s2000_00`,MUGEN S2000 '00,0069/0001
481,`nismo_gtr_lm_95`,NISMO GT-R LM Road Going Version '95,0061/0006
482,`nismo270r_94`,NISMO 270R '94,0061/0005
483,`nsx_r_proto_lm_road_01`,Honda NSX-R Prototype LM Road Car,0005/0061
484,`opel_speedster_00`,Opel Speedster '00,0039/0006
485,`penzoil_gtr_99`,Nissan PENNZOIL Nismo GT-R '99,0003/0110
487,`primera_20v_eu_01`,Nissan PRIMERA 20V (EU) '01,0003/0085
488,`pt_cruiser_00`,Chrysler PT Cruiser '00,0041/0004
489,`r33_gtr_v_97`,Nissan SKYLINE GT-R V·spec (R33) '97,0003/0155
490,`r34_gtr_m_01`,Nissan SKYLINE GT-R M·spec (R34) '01,0003/0053
491,`r34_gtr_rtune_99`,NISMO Skyline GT-R R-tune (R34) '99,0061/0004
492,`r34_gtr_v_99`,Nissan SKYLINE GT-R V·spec (R34) '99,0003/0046
493,`r34_gtr_v_gtcolor_pc_01`,Nissan GRAN TURISMO SKYLINE GT-R (PaceCar) '01,0003/0088
494,`r34_gtr_v2_00`,Nissan SKYLINE GT-R V·spec II (R34) '00,0003/0051
495,`gtr_concept_tmv_01`,Nissan GT-R Concept (Tokyo Motor Show 2001) '01,0003/0089
496,`r390_road_98`,Nissan R390 GT1 Road Car '98,0003/0114
498,`roadster_j_lim_91`,Mazda Eunos Roadster J-Limited (NA) '91,0001/0108
499,`roadster_j_lim2_93`,Mazda Eunos Roadster J-Limited II (NA) '93,0001/0032
500,`roadster_sr_lim_97`,Mazda Eunos Roadster SR-Limited (NA) '97,0001/0035
503,`rs4_01`,Audi RS 4 '01,0057/0007
504,`rs6_avant_02`,Audi RS 6 Avant '02,0057/0008
505,`rsc_tmv_01`,Toyota RSC '01,0004/0066
507,`rx7_lm_race_00`,Mazda RX-7 LM Race Car,0001/0075
508,`rx7_r_br_01`,Mazda RX-7 Type R Bathurst R (FD) '01,0001/0023
